,checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_length,installment_rate,personal_status,other_debtors,residence_history,property,age,installment_plan,housing,existing_credits,default,dependents,telephone,foreign_worker,job,gender
208,-37,24,repaid,business,6568,35,3 years,2,married,none,11 months,other,21,stores,own,1,0,1,,yes,unskilled resident,male
209,,12,repaid,car (used),1413,9708,5 years,3,single,none,2 months,building society savings,55,none,own,1,0,1,,no,skilled employee,male
210,,9,critical,radio/tv,3074,,3 years,1,single,none,7 months,real estate,33,none,own,2,0,2,,yes,skilled employee,male
211,,36,repaid,radio/tv,3835,,18 years,2,,none,9 years,real estate,45,none,own,1,0,1,+2341959393,yes,unskilled resident,female
212,-25,27,fully repaid,business,5293,88,,2,single,none,9 years,building society savings,50,stores,own,2,1,1,+2342200859,yes,skilled employee,male
213,392,30,delayed,business,1908,41,8 years,4,single,none,18 years,real estate,66,none,own,1,1,1,+2340694718,yes,mangement self-employed,male
214,,36,critical,radio/tv,3342,,14 years,4,single,none,4 months,other,51,none,own,1,0,1,+2348466741,yes,skilled employee,male
215,41,6,critical,retraining,932,,5 years,1,,none,1 years,building society savings,39,none,own,2,0,1,,yes,unskilled resident,female
216,-8,18,fully repaid,business,3104,81,7 years,3,single,none,,building society savings,31,bank,own,1,0,1,+2344571612,yes,skilled employee,male
217,927,36,repaid,radio/tv,3913,71,1 years,2,single,none,10 months,real estate,23,none,own,1,0,1,+2346516970,yes,skilled employee,male
218,-23,24,repaid,furniture,3021,90,3 years,2,divorced,none,5 months,real estate,24,none,rent,1,0,1,,yes,unskilled resident,male
219,,10,repaid,car (new),1364,53,3 years,2,,none,6 years,other,64,none,own,1,0,1,+2342554578,yes,skilled employee,female
220,128,12,repaid,radio/tv,625,30,5 months,4,married,guarantor,,real estate,26,bank,own,1,0,1,,yes,unskilled resident,male
221,-5,12,repaid,education,1200,,3 years,4,,none,14 years,building society savings,23,bank,rent,1,0,1,+2342538766,yes,skilled employee,female
222,,12,repaid,radio/tv,707,15,2 years,4,single,none,1 months,real estate,30,bank,own,2,0,1,,yes,skilled employee,male
223,,24,delayed,business,2978,,2 years,4,single,none,16 years,real estate,32,none,own,2,0,2,+2345883868,yes,skilled employee,male
224,,15,repaid,car (used),4657,12,1 years,3,single,none,4 months,other,30,none,own,1,0,1,+2346005084,yes,skilled employee,male
225,,36,fully repaid,repairs,2613,42,1 years,4,single,none,9 months,other,27,none,own,2,0,1,,yes,skilled employee,male
226,36,48,repaid,radio/tv,10961,2839,5 years,1,single,co-applicant,4 months,unknown/none,27,bank,own,2,1,1,+2348625391,yes,skilled employee,male
227,-13,12,repaid,furniture,7865,51,16 years,4,single,none,21 years,unknown/none,53,none,for free,1,1,1,+2349919504,yes,mangement self-employed,male
228,,9,repaid,radio/tv,1478,78,7 years,4,single,none,11 months,other,22,none,own,1,1,1,,yes,skilled employee,male
229,-29,24,repaid,furniture,3149,71,8 months,4,single,none,,unknown/none,22,bank,for free,1,0,1,,yes,skilled employee,male
230,753,36,repaid,radio/tv,4210,26,3 years,4,single,none,0 months,other,26,none,own,1,1,1,,yes,skilled employee,male
231,,9,repaid,car (new),2507,896,7 years,2,single,none,23 years,unknown/none,51,none,for free,1,0,1,,yes,unskilled resident,male
232,,12,repaid,radio/tv,2141,406,6 years,3,single,none,,unknown/none,35,none,own,1,0,1,,yes,skilled employee,male
233,80,18,repaid,radio/tv,866,55,1 years,4,married,guarantor,6 months,real estate,25,none,own,1,0,1,,yes,unskilled resident,male
234,,4,critical,radio/tv,1544,99,5 years,2,single,none,,real estate,42,none,own,3,0,2,,yes,unskilled resident,male
235,-34,24,repaid,radio/tv,1823,54,,4,single,none,10 months,other,30,stores,own,1,1,2,,yes,mangement self-employed,male
236,170,6,repaid,car (new),14555,,,1,single,none,0 months,building society savings,23,none,own,1,1,1,+2342284120,yes,unemployed non-resident,male
237,122,21,repaid,business,2767,413,11 years,4,divorced,none,6 months,other,61,bank,rent,2,1,1,,yes,unskilled resident,male
238,,12,critical,radio/tv,1291,90,3 years,4,,none,0 months,building society savings,35,none,own,2,0,1,,yes,skilled employee,female
239,-42,30,repaid,radio/tv,2522,94,8 years,1,single,guarantor,1 years,building society savings,39,none,own,1,0,2,,yes,skilled employee,male
240,-12,24,repaid,car (new),915,,17 years,4,,none,11 months,other,29,bank,own,1,1,1,,yes,skilled employee,female
241,,6,repaid,radio/tv,1595,25,6 years,3,single,none,8 months,building society savings,51,none,own,1,0,2,,yes,skilled employee,male
242,-33,48,fully repaid,car (used),4605,32,13 years,3,single,none,9 years,unknown/none,24,none,for free,2,1,2,,yes,skilled employee,male
243,,12,critical,business,1185,65,2 years,3,,none,2 months,real estate,27,none,own,2,0,1,,yes,skilled employee,female
244,,12,fully repaid this bank,retraining,3447,970,2 years,4,,none,1 years,real estate,35,none,own,1,0,2,,yes,unskilled resident,female
245,,24,repaid,business,1258,8,4 years,4,single,none,,real estate,25,none,own,1,0,1,+2349190990,yes,skilled employee,male
246,,12,critical,radio/tv,717,8,10 years,4,single,none,9 years,real estate,52,none,own,3,0,1,,yes,skilled employee,male
247,,6,fully repaid,car (new),1204,492,2 years,4,single,none,,unknown/none,35,bank,rent,1,0,1,,no,skilled employee,male
248,425,24,repaid,furniture,1925,27,1 years,2,single,none,9 months,real estate,26,none,own,1,0,1,,yes,skilled employee,male
249,,18,repaid,radio/tv,433,70,,3,,co-applicant,10 years,real estate,22,none,rent,1,1,1,,yes,skilled employee,female
250,-47,6,critical,car (new),666,8063,5 years,3,,none,8 years,real estate,39,none,own,2,0,1,+2345293311,yes,unskilled resident,female
251,504,12,repaid,furniture,2251,2,1 years,1,,none,11 months,other,46,none,own,1,0,1,,yes,unskilled resident,female
252,157,30,repaid,car (new),2150,21,1 years,4,,guarantor,0 months,unknown/none,24,bank,own,1,1,1,,yes,skilled employee,female
253,,24,delayed,furniture,4151,472,2 years,2,single,none,4 years,building society savings,35,none,own,2,0,1,,yes,skilled employee,male
254,82,9,repaid,furniture,2030,,6 years,2,single,none,,other,24,none,own,1,0,1,+2341648240,yes,skilled employee,male
255,100,60,delayed,radio/tv,7418,,3 years,1,single,none,,real estate,27,none,own,1,0,1,,yes,unskilled resident,male
256,,24,critical,radio/tv,2684,40,3 years,4,single,none,4 months,real estate,35,none,own,2,0,1,,yes,unskilled resident,male
257,-27,12,fully repaid this bank,radio/tv,2149,49,1 years,4,divorced,none,,unknown/none,29,none,for free,1,1,1,,yes,skilled employee,male
258,,15,repaid,car (used),3812,276,6 months,1,,none,10 years,other,23,none,own,1,0,1,+2346114092,yes,skilled employee,female
259,,11,critical,radio/tv,1154,318,,4,,none,15 years,real estate,57,none,own,3,0,1,,yes,unskilled resident,female
260,-24,12,repaid,furniture,1657,40,3 years,2,single,none,1 months,real estate,27,none,own,1,0,1,,yes,skilled employee,male
261,-2,24,repaid,radio/tv,1603,19,18 years,4,,none,13 years,other,55,none,own,1,0,1,,yes,skilled employee,female
262,-40,18,critical,car (new),5302,93,7 years,2,single,none,18 years,unknown/none,36,none,for free,3,0,1,+2340182026,yes,mangement self-employed,male
263,,12,critical,education,2748,44,14 years,2,,none,8 years,unknown/none,57,bank,for free,3,0,1,,yes,unskilled resident,female
264,,10,critical,car (new),1231,32,7 years,3,single,none,10 years,real estate,32,none,own,2,0,2,,no,unskilled resident,male
265,67,15,repaid,radio/tv,802,39,9 years,4,single,none,3 years,other,37,none,own,1,1,2,,yes,skilled employee,male
266,,36,critical,business,6304,,8 years,4,single,none,24 years,real estate,36,none,own,2,0,1,,yes,skilled employee,male
267,,24,repaid,radio/tv,1533,98,5 months,4,,none,2 years,other,38,stores,own,1,0,1,+2346337538,yes,skilled employee,female
268,-3,14,repaid,car (new),8978,72,19 years,1,divorced,none,20 years,building society savings,45,none,own,1,1,1,+2343282304,no,mangement self-employed,male
269,,24,repaid,radio/tv,999,,10 years,4,single,none,5 months,other,25,none,own,2,0,1,,yes,skilled employee,male
270,,18,repaid,car (new),2662,,4 years,4,single,none,1 years,building society savings,32,none,own,1,0,1,,no,skilled employee,male
271,,12,critical,furniture,1402,647,5 years,3,,none,18 years,other,37,none,rent,1,0,1,+2348684876,yes,skilled employee,female
272,90,48,fully repaid this bank,car (new),12169,,,4,single,co-applicant,10 years,unknown/none,36,none,for free,1,0,1,+2341256945,yes,mangement self-employed,male
273,157,48,repaid,radio/tv,3060,18,5 years,4,single,none,17 years,real estate,28,none,own,2,1,1,,yes,skilled employee,male
274,-47,30,repaid,repairs,11998,25,3 months,1,divorced,none,,unknown/none,34,none,own,1,1,1,+2349049816,yes,unskilled resident,male
275,,9,repaid,radio/tv,2697,86,3 years,1,single,none,7 months,real estate,32,none,own,1,0,2,,yes,skilled employee,male
276,,18,critical,radio/tv,2404,92,3 years,2,,none,1 months,other,26,none,own,2,0,1,,yes,skilled employee,female
277,-8,12,repaid,furniture,1262,,19 years,2,divorced,none,10 years,building society savings,49,none,own,1,0,1,+2342492847,yes,unskilled resident,male
278,,6,repaid,furniture,4611,28,0 months,1,,none,12 years,building society savings,32,none,own,1,1,1,,yes,skilled employee,female
279,,24,repaid,radio/tv,1901,213,1 years,4,single,none,13 years,other,29,none,rent,1,0,1,+2345496772,yes,mangement self-employed,male
280,,15,critical,car (used),3368,7306,15 years,3,single,none,10 years,unknown/none,23,none,rent,2,0,1,+2344549698,yes,skilled employee,male
281,,12,repaid,furniture,1574,49,1 years,4,single,none,6 months,real estate,50,none,own,1,0,1,,yes,skilled employee,male
282,405,18,fully repaid this bank,radio/tv,1445,,7 years,4,single,none,7 years,other,49,bank,own,1,0,1,,yes,unskilled resident,male
283,,15,critical,furniture,1520,,11 years,4,single,none,10 years,building society savings,63,none,own,1,0,1,,yes,skilled employee,male
284,163,24,critical,car (new),3878,273,7 months,4,divorced,none,5 months,other,37,none,own,1,0,1,+2348153717,yes,skilled employee,male
285,-24,47,repaid,car (new),10722,83,1 months,1,,none,,real estate,35,none,own,1,0,1,+2342379549,yes,unskilled resident,female
286,-42,48,repaid,car (used),4788,68,6 years,4,single,none,4 years,building society savings,26,none,own,1,0,2,,yes,skilled employee,male
287,109,48,delayed,others,7582,406,,2,single,none,16 years,unknown/none,31,none,for free,1,0,1,+2342312871,yes,mangement self-employed,male
288,182,12,repaid,radio/tv,1092,91,3 years,4,,guarantor,20 years,real estate,49,none,own,2,0,1,+2340837878,yes,skilled employee,female
289,-14,24,delayed,radio/tv,1024,8,2 months,4,married,none,14 years,real estate,48,stores,own,1,1,1,,yes,skilled employee,male
290,,12,repaid,business,1076,50,3 years,2,married,none,4 months,real estate,26,none,own,1,0,1,+2348809336,no,skilled employee,male
291,58,36,repaid,car (used),9398,63,10 months,1,married,none,24 years,other,28,none,rent,1,1,1,+2348834224,yes,mangement self-employed,male
292,-39,24,critical,car (used),6419,57,13 years,2,,none,23 years,unknown/none,44,none,for free,2,0,2,+2342454871,yes,mangement self-employed,female
293,623,42,critical,car (used),4796,40,13 years,4,single,none,13 years,unknown/none,56,none,for free,1,0,1,,yes,skilled employee,male
294,,48,critical,business,7629,,9 years,4,divorced,none,9 months,other,46,bank,own,2,0,2,,yes,mangement self-employed,male
295,146,48,repaid,furniture,9960,35,1 months,1,,none,0 months,other,26,none,own,1,1,1,+2348370393,yes,skilled employee,female
296,,12,repaid,car (used),4675,,0 months,1,,none,10 years,other,20,none,rent,1,0,1,,yes,skilled employee,female
297,,10,repaid,car (new),1287,,9 years,4,single,co-applicant,8 months,building society savings,45,none,own,1,0,1,,no,unskilled resident,male
298,,18,repaid,furniture,2515,75,3 years,3,single,none,22 years,real estate,43,none,own,1,0,1,+2341136888,yes,skilled employee,male
299,18,21,critical,furniture,2745,14575,5 years,3,single,none,4 months,other,32,none,own,2,0,1,+2347780654,yes,skilled employee,male
300,,6,repaid,car (new),672,3,,1,,none,15 years,real estate,54,none,own,1,0,1,+2346344843,yes,unemployed non-resident,female
301,194,36,fully repaid,radio/tv,3804,78,3 years,4,,none,,other,42,none,own,1,1,1,+2346744466,yes,skilled employee,female
302,482,24,critical,car (new),1344,,7 years,4,single,none,7 months,real estate,37,bank,own,2,1,2,,yes,unskilled resident,male
303,-15,10,critical,car (new),1038,4,5 years,4,single,co-applicant,3 years,building society savings,49,none,own,2,0,1,+2345572952,yes,skilled employee,male
304,,48,critical,car (new),10127,943,1 years,2,single,none,8 months,unknown/none,44,bank,for free,1,1,1,,yes,skilled employee,male
305,,6,repaid,furniture,1543,2785,2 years,4,divorced,none,5 months,real estate,33,none,own,1,0,1,,yes,skilled employee,male
306,,30,repaid,car (used),4811,,4 years,2,,none,12 years,building society savings,24,stores,rent,1,0,1,,yes,unskilled resident,female
307,-32,12,repaid,radio/tv,727,280,0 months,4,married,none,1 years,unknown/none,33,none,own,1,1,1,+2343378203,yes,unskilled resident,male
308,179,8,repaid,furniture,1237,83,1 years,3,,none,6 years,real estate,24,none,own,1,1,1,,yes,skilled employee,female
309,165,9,repaid,car (new),276,40,1 years,4,married,none,16 years,real estate,22,none,rent,1,0,1,,yes,unskilled resident,male
310,35,48,repaid,others,5381,,,3,single,none,23 years,unknown/none,40,bank,for free,1,0,1,+2347907210,yes,unemployed non-resident,male
311,,24,repaid,furniture,5511,115,1 years,4,single,none,,other,25,stores,own,1,0,1,,yes,skilled employee,male
312,411,24,repaid,furniture,3749,38,10 months,2,,none,11 years,other,26,none,own,1,0,1,,yes,skilled employee,female
313,32,12,repaid,car (new),685,33,5 years,2,married,none,4 years,other,25,bank,own,1,1,1,,yes,unskilled resident,male
314,927,4,repaid,car (new),1494,,3 months,1,single,none,9 months,real estate,29,none,own,1,0,2,,no,unskilled resident,male
315,-17,36,fully repaid this bank,furniture,2746,13,10 years,4,single,none,6 years,other,31,bank,own,1,1,1,,yes,skilled employee,male
316,-47,12,repaid,furniture,708,83,3 years,2,single,guarantor,1 years,building society savings,38,none,own,1,0,2,,yes,unskilled resident,male
317,44,24,repaid,furniture,4351,,1 years,1,,none,12 years,building society savings,48,none,own,1,0,1,+2340264152,yes,unskilled resident,female
318,,12,critical,education,701,3,1 years,4,single,none,9 months,other,32,none,own,2,0,1,,yes,skilled employee,male
319,-6,15,delayed,furniture,3643,50,14 years,1,,none,24 years,building society savings,27,none,own,2,0,1,,yes,unskilled resident,female
320,132,30,critical,car (new),4249,76,,4,married,none,5 months,other,28,none,own,2,1,1,,yes,mangement self-employed,male
321,-28,24,repaid,radio/tv,1938,4,7 months,4,divorced,none,3 years,building society savings,32,none,own,1,1,1,,yes,skilled employee,male
322,-2,24,repaid,car (used),2910,65,4 years,2,single,none,,unknown/none,34,none,for free,1,0,1,+2344259663,yes,mangement self-employed,male
323,-36,18,repaid,furniture,2659,10331,3 years,4,single,none,10 months,other,28,none,own,1,0,1,,yes,skilled employee,male
324,,18,critical,car (new),1028,93,1 years,4,,none,3 years,real estate,36,none,own,2,0,1,,yes,skilled employee,female
325,-43,8,critical,car (new),3398,66,6 years,1,single,none,20 years,real estate,39,none,own,2,0,1,,no,unskilled resident,male
326,,12,critical,furniture,5801,,10 years,2,single,none,16 years,building society savings,49,none,rent,1,0,1,+2341999859,yes,skilled employee,male
327,,24,repaid,car (new),1525,3858,6 years,4,,none,3 years,other,34,none,own,1,0,2,+2345823642,yes,skilled employee,female
328,425,36,repaid,radio/tv,4473,15,11 years,4,single,none,7 months,other,31,none,own,1,0,1,,yes,skilled employee,male
329,86,6,repaid,radio/tv,1068,65,13 years,4,single,none,22 years,other,28,none,own,1,0,2,,yes,skilled employee,male
330,-44,24,critical,car (used),6615,52,,2,single,none,19 years,unknown/none,75,none,for free,2,0,1,+2346072662,yes,mangement self-employed,male
331,,18,critical,education,1864,313,1 years,4,,none,10 months,real estate,30,none,own,2,1,1,,yes,skilled employee,female
332,72,60,repaid,car (new),7408,331,6 months,4,,none,8 months,building society savings,24,none,own,1,1,1,,yes,mangement self-employed,female
333,,48,critical,car (used),11590,399,2 years,2,,none,23 years,other,24,bank,rent,2,1,1,,yes,unskilled resident,female
334,-1,24,fully repaid,furniture,4110,9,19 years,3,single,none,18 years,unknown/none,23,bank,rent,2,1,2,,yes,skilled employee,male
335,-48,6,critical,furniture,3384,38,2 years,1,divorced,none,23 years,real estate,44,none,rent,1,1,1,+2343167834,yes,mangement self-employed,male
336,45,13,repaid,radio/tv,2101,95,8 months,2,,guarantor,9 years,building society savings,23,none,own,1,0,1,,yes,unskilled resident,female
337,-13,15,repaid,domestic appliances,1275,,1 years,4,,none,9 months,other,24,none,rent,1,1,1,,yes,skilled employee,female
338,-40,24,repaid,furniture,4169,81,3 years,4,single,none,5 years,building society savings,28,none,own,1,0,1,,yes,skilled employee,male
339,94,10,repaid,furniture,1521,57,1 years,4,divorced,none,2 months,other,31,none,own,1,0,1,,yes,unskilled resident,male
340,111,24,critical,education,5743,93,6 months,2,,none,9 years,unknown/none,24,none,for free,2,0,1,+2344569499,yes,skilled employee,female
341,-7,21,repaid,furniture,3599,14,7 years,1,,none,7 years,other,26,none,rent,1,0,1,,yes,unskilled resident,female
342,62,18,repaid,radio/tv,3213,876,6 months,1,married,none,4 years,real estate,25,none,rent,1,0,1,,yes,skilled employee,male
343,72,18,repaid,business,4439,61,8 years,1,single,co-applicant,,real estate,33,bank,own,1,0,1,+2344072380,yes,mangement self-employed,male
344,406,10,repaid,car (new),3949,81,8 months,1,single,guarantor,,building society savings,37,none,own,1,0,2,,yes,unskilled resident,male
345,,15,critical,radio/tv,1459,57,1 years,4,,none,9 months,other,43,none,own,1,0,1,,yes,unskilled resident,female
346,199,13,critical,radio/tv,882,0,1 months,4,single,guarantor,23 years,real estate,23,none,own,2,0,1,,yes,skilled employee,male
347,105,24,repaid,radio/tv,3758,790,,1,,none,16 years,unknown/none,23,none,rent,1,0,1,,yes,unemployed non-resident,female
348,,6,delayed,business,1743,265,1 years,1,single,none,2 months,real estate,34,none,own,2,0,1,,yes,unskilled resident,male
349,5,9,critical,education,1136,6195,19 years,4,single,none,2 years,unknown/none,32,none,for free,2,1,2,,yes,skilled employee,male
350,,9,repaid,domestic appliances,1236,23,1 months,1,,none,11 years,real estate,23,none,rent,1,0,1,+2346684040,yes,skilled employee,female
351,77,9,repaid,furniture,959,51,1 years,1,,none,0 months,other,29,none,own,1,1,1,,no,skilled employee,female
352,,18,critical,car (used),3229,,,2,single,none,10 years,unknown/none,38,none,own,1,0,1,+2347934664,yes,mangement self-employed,male
353,-50,12,fully repaid,radio/tv,6199,64,1 years,4,single,none,0 months,building society savings,28,none,rent,2,1,1,+2341566387,yes,skilled employee,male
354,,10,repaid,education,727,555,10 years,4,single,none,15 years,unknown/none,46,none,for free,1,0,1,+2346280065,yes,skilled employee,male
355,12,24,repaid,car (new),1246,48,7 months,4,single,none,8 months,real estate,23,stores,own,1,1,1,,yes,unskilled resident,male
356,,12,critical,radio/tv,2331,,10 years,1,single,co-applicant,22 years,real estate,49,none,own,1,0,1,+2341494363,yes,skilled employee,male
357,,36,delayed,radio/tv,4463,30,2 years,4,single,none,0 months,other,26,none,own,2,1,1,+2347678106,yes,mangement self-employed,male
358,,12,repaid,radio/tv,776,98,2 years,4,married,none,1 months,real estate,28,none,own,1,0,1,,yes,skilled employee,male
359,-31,30,repaid,furniture,2406,5,5 years,4,,none,5 years,real estate,23,none,rent,1,1,1,,yes,skilled employee,female
360,24,18,repaid,education,1239,,2 years,4,single,none,20 years,unknown/none,61,none,for free,1,0,1,,yes,skilled employee,male
361,263,12,repaid,radio/tv,3399,,8 years,2,single,none,2 years,other,37,none,own,1,0,1,,yes,mangement self-employed,male
362,656,12,delayed,car (new),2247,88,1 years,2,,none,6 months,other,36,stores,own,2,0,1,+2342294160,yes,skilled employee,female
363,,6,repaid,furniture,1766,30,1 years,1,married,none,8 months,building society savings,21,none,rent,1,0,1,,yes,skilled employee,male
364,-15,18,repaid,furniture,2473,97,,4,single,none,,other,25,none,own,1,1,1,,yes,unemployed non-resident,male
365,,12,repaid,business,1542,34,7 years,2,single,none,15 years,other,36,none,own,1,0,1,+2345633915,yes,skilled employee,male
366,,18,critical,car (used),3850,0,5 years,3,single,none,,other,27,none,own,2,0,1,,yes,skilled employee,male
367,-14,18,repaid,furniture,3650,15,2 months,1,,none,8 years,other,22,none,rent,1,0,1,,yes,skilled employee,female
368,-40,36,repaid,furniture,3446,88,16 years,4,single,none,6 months,other,42,none,own,1,1,2,,yes,skilled employee,male
369,166,18,repaid,furniture,3001,84,6 years,2,,none,5 years,real estate,40,none,rent,1,0,1,,yes,skilled employee,female
370,,36,repaid,car (new),3079,,2 years,4,single,none,24 years,real estate,36,none,own,1,0,1,,yes,skilled employee,male
371,,18,critical,radio/tv,6070,43,7 years,3,single,none,15 years,other,33,none,own,2,0,1,+2346985386,yes,skilled employee,male
372,,10,critical,furniture,2146,26,4 months,1,,none,1 years,real estate,23,none,rent,2,0,1,,yes,skilled employee,female
373,,60,critical,car (new),13756,,14 years,2,single,none,5 years,unknown/none,63,bank,for free,1,0,1,+2346695389,yes,mangement self-employed,male
374,39,60,fully repaid this bank,others,14782,322,16 years,3,,none,6 years,unknown/none,60,bank,for free,2,1,1,+2344017386,yes,mangement self-employed,female
375,-10,48,fully repaid this bank,business,7685,23,5 years,2,,guarantor,20 years,other,37,none,rent,1,1,1,,yes,skilled employee,female
376,,18,delayed,radio/tv,2320,84,,2,married,none,2 years,real estate,34,none,own,2,0,1,,yes,skilled employee,male
377,,7,delayed,radio/tv,846,,13 years,3,single,none,15 years,unknown/none,36,none,for free,1,0,1,,yes,skilled employee,male
378,154,36,repaid,car (new),14318,20,13 years,4,single,none,4 months,unknown/none,57,none,for free,1,1,1,+2344766015,yes,mangement self-employed,male
379,,6,critical,car (new),362,224,2 years,4,,none,11 years,other,52,none,own,2,0,1,,yes,unskilled resident,female
380,-23,20,repaid,furniture,2212,,4 years,4,single,none,12 years,other,39,none,own,1,0,1,+2340501963,yes,skilled employee,male
381,32,18,repaid,car (used),12976,29,,3,,none,20 years,unknown/none,38,none,for free,1,1,1,+2349193355,yes,mangement self-employed,female
382,,22,repaid,car (new),1283,,7 years,4,,none,16 years,building society savings,25,none,rent,1,0,1,,yes,skilled employee,female
383,825,12,repaid,car (new),1330,47,5 months,4,single,none,,real estate,26,none,own,1,0,1,,yes,skilled employee,male
384,,30,delayed,business,4272,170,1 years,2,single,none,11 months,building society savings,26,none,own,2,0,1,,yes,unskilled resident,male
385,,18,critical,radio/tv,2238,4,2 years,2,,none,,other,25,none,own,2,0,1,,yes,skilled employee,female
386,,18,repaid,radio/tv,1126,,6 months,4,,none,8 months,real estate,21,none,rent,1,0,1,+2349386464,yes,skilled employee,female
387,99,18,critical,furniture,7374,89,,4,single,none,10 years,building society savings,40,stores,own,2,0,1,+2340474977,yes,mangement self-employed,male
388,158,15,critical,business,2326,927,2 years,2,single,none,9 years,other,27,bank,own,1,0,1,,yes,skilled employee,male
389,,9,repaid,business,1449,69,5 years,3,,none,8 months,other,27,none,own,2,0,1,,yes,skilled employee,female
390,,18,repaid,car (new),1820,42,1 years,2,married,none,8 months,building society savings,30,none,own,1,0,1,+2346307390,yes,mangement self-employed,male
391,149,12,repaid,furniture,983,9697,6 months,1,,none,7 years,real estate,19,none,rent,1,0,1,,yes,unskilled resident,female
392,-12,36,repaid,car (new),3249,71,6 years,2,single,none,13 years,unknown/none,39,bank,for free,1,0,2,+2346559129,yes,mangement self-employed,male
393,-44,6,critical,radio/tv,1957,57,4 years,1,,none,22 years,other,31,none,own,1,0,1,,yes,skilled employee,female
394,,9,critical,furniture,2406,64,,2,single,none,4 years,other,31,none,own,1,0,1,,yes,mangement self-employed,male
395,126,39,delayed,education,11760,148,7 years,2,single,none,4 years,unknown/none,32,none,rent,1,0,1,+2348353995,yes,skilled employee,male
396,-24,12,repaid,furniture,2578,89,,3,,none,11 years,unknown/none,55,none,for free,1,0,1,,yes,mangement self-employed,female
397,-7,36,critical,furniture,2348,48,2 years,3,married,none,1 months,building society savings,46,none,own,2,0,1,+2343617698,yes,skilled employee,male
398,8,12,repaid,car (new),1223,6,9 years,1,divorced,none,,real estate,46,none,rent,2,1,1,,yes,skilled employee,male
399,,24,critical,radio/tv,1516,10197,1 years,4,,none,,real estate,43,none,own,2,0,1,,yes,unskilled resident,female
400,,18,repaid,radio/tv,1473,21,0 months,3,married,none,21 years,real estate,39,none,own,1,0,1,+2340597664,yes,skilled employee,male
401,151,18,critical,business,1887,,2 years,4,married,none,12 years,real estate,28,bank,own,2,0,1,,yes,skilled employee,male
402,,24,delayed,business,8648,72,9 months,2,single,none,2 months,other,27,bank,own,2,1,1,+2344796388,yes,skilled employee,male
403,,14,delayed,car (new),802,64,2 years,4,single,none,8 months,other,27,none,own,2,0,1,,yes,unskilled resident,male
404,143,18,delayed,car (new),2899,,17 years,4,single,none,19 years,other,43,none,own,1,0,2,,yes,skilled employee,male
405,67,24,repaid,radio/tv,2039,20,11 months,1,married,none,,building society savings,22,none,own,1,1,1,+2347264583,yes,skilled employee,male
406,,24,critical,car (used),2197,,4 years,4,single,none,11 years,other,43,none,own,2,0,2,+2347052666,yes,skilled employee,male
407,-10,15,repaid,radio/tv,1053,92,7 months,4,married,none,6 months,real estate,27,none,own,1,0,1,,no,skilled employee,male
408,,24,repaid,radio/tv,3235,912,14 years,3,divorced,none,4 months,other,26,none,own,1,0,1,+2348898186,yes,mangement self-employed,male
409,314,12,critical,car (new),939,811,7 years,4,married,none,1 months,real estate,28,none,own,3,1,1,+2340213959,yes,skilled employee,male
410,84,24,repaid,radio/tv,1967,85,16 years,4,,none,14 years,other,20,none,own,1,0,1,+2347584384,yes,skilled employee,female
411,,33,critical,car (used),7253,36,4 years,3,single,none,1 months,other,35,none,own,2,0,1,+2349994320,yes,mangement self-employed,male
412,,12,critical,business,2292,42,,4,single,none,9 months,other,42,stores,own,2,1,1,+2346359293,yes,mangement self-employed,male
413,,10,repaid,car (new),1597,745,2 years,3,single,none,3 months,unknown/none,40,none,rent,1,0,2,,no,unskilled resident,male
414,-12,24,repaid,car (new),1381,,2 years,4,,none,2 months,building society savings,35,none,own,1,1,1,,yes,skilled employee,female
415,,36,critical,car (used),5842,45,14 years,2,single,none,7 months,building society savings,35,none,own,2,0,2,+2345943337,yes,skilled employee,male
416,-25,12,repaid,car (new),2579,10,8 months,4,single,none,,real estate,33,none,own,1,1,2,,yes,unskilled resident,male
417,-27,18,delayed,education,8471,,1 years,1,,none,1 months,other,23,none,rent,2,0,1,+2349636962,yes,skilled employee,female
418,,21,repaid,car (new),2782,914,4 years,1,,none,2 months,other,31,bank,own,1,0,1,,yes,mangement self-employed,female
419,110,18,repaid,car (new),1042,,3 years,4,,none,5 months,building society savings,33,none,own,1,1,1,,yes,skilled employee,female
420,,15,repaid,car (new),3186,13074,6 years,2,,none,1 years,other,20,none,rent,1,0,1,,yes,skilled employee,female
421,132,12,repaid,car (used),2028,,1 years,4,single,none,4 months,other,30,none,own,1,0,1,,yes,skilled employee,male
422,170,12,critical,car (new),958,3,7 years,2,single,none,2 years,real estate,47,none,own,2,0,2,,yes,unskilled resident,male
423,,21,delayed,furniture,1591,232,4 years,4,single,none,1 years,real estate,34,none,own,2,0,1,,yes,mangement self-employed,male
424,159,12,repaid,furniture,2762,,12 years,1,,none,9 months,building society savings,25,bank,own,1,1,1,+2345283587,yes,skilled employee,female
425,30,18,repaid,car (used),2779,55,2 years,1,married,none,1 years,other,21,none,rent,1,0,1,+2341917112,yes,skilled employee,male
426,,28,critical,radio/tv,2743,24,12 years,4,single,none,9 months,other,29,none,own,2,0,1,,yes,skilled employee,male
427,,18,critical,radio/tv,1149,1216,1 years,4,single,none,2 years,real estate,46,none,own,2,0,1,,yes,skilled employee,male
